environment,split,source_stem,image,mask
office,train,000536,dataset/drivable/images/train/office_000536.png,dataset/drivable/masks/train/office_000536.png
office,train,000599,dataset/drivable/images/train/office_000599.png,dataset/drivable/masks/train/office_000599.png
office,train,000428,dataset/drivable/images/train/office_000428.png,dataset/drivable/masks/train/office_000428.png
office,train,000424,dataset/drivable/images/train/office_000424.png,dataset/drivable/masks/train/office_000424.png
office,train,000303,dataset/drivable/images/train/office_000303.png,dataset/drivable/masks/train/office_000303.png
office,train,000465,dataset/drivable/images/train/office_000465.png,dataset/drivable/masks/train/office_000465.png
office,train,000130,dataset/drivable/images/train/office_000130.png,dataset/drivable/masks/train/office_000130.png
office,train,000212,dataset/drivable/images/train/office_000212.png,dataset/drivable/masks/train/office_000212.png
office,train,000476,dataset/drivable/images/train/office_000476.png,dataset/drivable/masks/train/office_000476.png
office,train,000314,dataset/drivable/images/train/office_000314.png,dataset/drivable/masks/train/office_000314.png
office,train,000092,dataset/drivable/images/train/office_000092.png,dataset/drivable/masks/train/office_000092.png
office,train,000265,dataset/drivable/images/train/office_000265.png,dataset/drivable/masks/train/office_000265.png
office,train,000545,dataset/drivable/images/train/office_000545.png,dataset/drivable/masks/train/office_000545.png
office,train,000480,dataset/drivable/images/train/office_000480.png,dataset/drivable/masks/train/office_000480.png
office,train,000235,dataset/drivable/images/train/office_000235.png,dataset/drivable/masks/train/office_000235.png
office,train,000188,dataset/drivable/images/train/office_000188.png,dataset/drivable/masks/train/office_000188.png
office,train,000439,dataset/drivable/images/train/office_000439.png,dataset/drivable/masks/train/office_000439.png
office,train,000396,dataset/drivable/images/train/office_000396.png,dataset/drivable/masks/train/office_000396.png
office,train,000540,dataset/drivable/images/train/office_000540.png,dataset/drivable/masks/train/office_000540.png
office,train,000346,dataset/drivable/images/train/office_000346.png,dataset/drivable/masks/train/office_000346.png
office,train,000595,dataset/drivable/images/train/office_000595.png,dataset/drivable/masks/train/office_000595.png
office,train,000425,dataset/drivable/images/train/office_000425.png,dataset/drivable/masks/train/office_000425.png
office,train,000325,dataset/drivable/images/train/office_000325.png,dataset/drivable/masks/train/office_000325.png
office,train,000481,dataset/drivable/images/train/office_000481.png,dataset/drivable/masks/train/office_000481.png
office,train,000278,dataset/drivable/images/train/office_000278.png,dataset/drivable/masks/train/office_000278.png
office,train,000419,dataset/drivable/images/train/office_000419.png,dataset/drivable/masks/train/office_000419.png
office,train,000581,dataset/drivable/images/train/office_000581.png,dataset/drivable/masks/train/office_000581.png
office,train,000339,dataset/drivable/images/train/office_000339.png,dataset/drivable/masks/train/office_000339.png
office,train,000230,dataset/drivable/images/train/office_000230.png,dataset/drivable/masks/train/office_000230.png
office,train,000059,dataset/drivable/images/train/office_000059.png,dataset/drivable/masks/train/office_000059.png
office,train,000316,dataset/drivable/images/train/office_000316.png,dataset/drivable/masks/train/office_000316.png
office,train,000241,dataset/drivable/images/train/office_000241.png,dataset/drivable/masks/train/office_000241.png
office,train,000304,dataset/drivable/images/train/office_000304.png,dataset/drivable/masks/train/office_000304.png
office,train,000253,dataset/drivable/images/train/office_000253.png,dataset/drivable/masks/train/office_000253.png
office,train,000012,dataset/drivable/images/train/office_000012.png,dataset/drivable/masks/train/office_000012.png
office,train,000371,dataset/drivable/images/train/office_000371.png,dataset/drivable/masks/train/office_000371.png
office,train,000345,dataset/drivable/images/train/office_000345.png,dataset/drivable/masks/train/office_000345.png
office,train,000487,dataset/drivable/images/train/office_000487.png,dataset/drivable/masks/train/office_000487.png
office,train,000444,dataset/drivable/images/train/office_000444.png,dataset/drivable/masks/train/office_000444.png
office,train,000021,dataset/drivable/images/train/office_000021.png,dataset/drivable/masks/train/office_000021.png
office,train,000138,dataset/drivable/images/train/office_000138.png,dataset/drivable/masks/train/office_000138.png
office,train,000435,dataset/drivable/images/train/office_000435.png,dataset/drivable/masks/train/office_000435.png
